"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"91","A","01","00005774","Solent Speakers Club","6","0","19","17","36","0","42","D",""
"91","A","01","01279299","Hamwic Speakers","28","0","33","34","67","0","95","P",""
"91","A","01","02685904","Spinnaker Speakers","11","0","13","14","27","0","38","",""
"91","A","01","07713357","Shilling Speakers","8","0","28","21","49","0","57","P",""
"91","A","17","00008471","Reading Speakers Club ","35","0","20","26","46","0","81","D",""
"91","A","17","01348895","Microsoft Speakers Club","12","0","10","15","25","0","37","",""
"91","A","17","05257932","Reading Verizon Toastmasters","1","0","13","11","24","0","25","",""
"91","A","17","07850144","Verizon EMEA Online Toastmasters Club","4","0","12","13","25","0","29","",""
"91","A","19","00907029","South West Speakers","10","0","20","21","41","0","51","",""
"91","A","19","01163131","Casterbridge Speakers","13","0","16","19","35","0","48","S",""
"91","A","19","01249064","Armada Speakers","9","0","15","14","29","0","38","",""
"91","A","19","28675954","Wealth CDIO Toastmasters Club","35","0","22","21","43","0","78","",""
"91","A","42","00000742","Hallmark Speakers","14","0","18","20","38","0","52","P",""
"91","A","42","00595108","Chaseside Speakers Toastmasters Club - J.P.Morgan Chase empl","3","0","11","8","19","0","22","",""
"91","A","42","01768164","Ferndown Speakers","9","0","9","15","24","0","33","",""
"91","A","42","05877910","Salisbury Speakers","4","0","13","12","25","0","29","",""
"91","A","46","00002965","Newbury Speakers Club","13","0","15","19","34","0","47","S",""
"91","A","46","00009090","Wessex Speakers Club","10","0","26","27","53","0","63","S",""
"91","A","46","03599330","Basingstoke Speakers","14","0","23","23","46","0","60","S",""
"91","A","46","07932757","OpenText Speakers Club","4","0","18","13","31","0","35","",""
"91","A","62","00005161","Thamesdown Speakers Club ","11","0","14","16","30","0","41","",""
"91","A","62","00008580","Northavon Speakers Toastmasters Club","9","0","18","19","37","0","46","",""
