"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"91","D","21","07569818","Burnham Speakers","11","0","18","13","31","0","42","",""
"91","D","29","00002731","Riverside Communicators ","21","0","37","41","78","0","99","P",""
"91","D","29","00589261","Trojan Speakers Club","19","0","18","24","42","0","61","D",""
"91","D","29","06989572","BMS Uxbridge Toastmasters Club","9","0","20","22","42","0","51","",""
"91","D","29","07305510","GSK House Toastmasters Club","18","0","8","23","31","0","49","",""
"91","D","53","00002487","Epsom Speakers Club","14","0","14","21","35","0","49","P",""
"91","D","53","00005391","Long Ditton Speakers","8","0","1","1","2","0","10","",""
"91","D","53","04349640","SURBITON SPEAKERS","14","0","19","23","42","0","56","P",""
"91","D","53","06842976","Sutton Speakeasy","10","0","17","22","39","0","49","D",""
"91","D","53","07176374","The Reigate Rhetoric","12","0","10","19","29","0","41","D",""
"91","D","53","07748851","KBR Toastmasters","0","0","1","0","1","0","1","",""
"91","H","15","00625647","The Speakers of Croydon Club","17","0","29","35","64","0","81","P",""
"91","H","15","00840230","Croydon Communicators Club","17","0","18","24","42","0","59","S",""
"91","H","15","01638915","Purley Speakers","8","0","17","18","35","0","43","P",""
"91","H","15","07110466","Liberty Speakers Club","6","0","9","9","18","0","24","",""
"91","H","32","00007298","Arun Speakers","6","1","18","20","39","0","45","D",""
"91","H","32","01321786","County Communicators","5","1","13","13","27","0","32","",""
"91","H","32","01503299","Worthing Speakers Club","19","0","33","31","64","0","83","P",""
"91","H","32","05492830","Gatwick Communicators","5","0","15","15","30","0","35","",""
"91","H","32","07813669","Sussex Online Speakers","9","0","24","21","45","0","54","P",""
"91","H","35","00008959","Bromley Speakers","14","0","26","27","53","0","67","D",""
"91","H","35","00762850","Meridian Speakers Club","11","0","15","17","32","0","43","S",""
"91","H","35","01246707","Lewisham Speakers Club","8","0","7","11","18","0","26","",""
"91","H","35","03518670","Connected Speakers Bromley","11","0","8","10","18","0","29","S",""
"91","H","35","06630662","Beckenham Communicators","33","0","30","37","67","0","100","P",""
"91","H","37","00009934","Kent Speakers Club","25","0","23","39","62","0","87","P",""
"91","H","37","00710647","Canterbury Communicators Club","8","2","13","11","26","0","34","",""
"91","H","37","00739066","Tunbridge Wells Speakers Club","14","0","18","24","42","0","56","S",""
"91","H","37","00782690","Toasted Sandwich Toastmasters Club","4","0","8","9","17","0","21","",""
"91","H","37","07201549","Spirited Speakers","0","0","0","0","0","0","0","",""
